temperature,humidity,light_intensity,noise_level,pir_motion,ultrasonic_distance,person_count,door_state,window_state,co2_level,gas_leak,smoke_detected,rain_detected,energy_usage,voice_command,room_type,time_of_day,device,state
23.45,77.64,86.02,69.39,0,256.08,2,open,open,1705.6,1,1,1,1769.9,it's hot,kitchen,afternoon,fan,ON
35.43,64.51,57.09,85.72,1,206.22,1,open,closed,1913.8,1,1,0,1007.83,open the window,kitchen,morning,fan,ON
23.26,53.27,58.14,43.67,0,131.27,1,closed,open,1416.69,1,1,1,464.6,start the geyser,living_room,morning,fan,ON
19.79,65.6,19.83,34.82,1,84.41,0,open,closed,1101.87,1,0,0,1673.44,I am leaving,bathroom,evening,fan,ON
26.21,71.47,59.47,79.62,0,74.17,3,closed,closed,1766.01,1,0,0,617.1,turn on the light,bathroom,afternoon,fan,ON
39.51,28.33,96.35,34.68,0,196.46,2,closed,closed,1217.89,0,0,1,158.01,I am leaving,living_room,afternoon,window,OPEN
19.59,41.75,23.29,14.72,0,200.26,0,open,closed,734.69,0,0,1,215.86,good night,bedroom,morning,geyser,ON
17.08,58.97,16.21,38.62,1,30.66,3,open,open,1925.55,0,0,0,1147.64,open the window,kitchen,morning,light,ON
35.93,75.79,17.55,28.2,1,79.08,0,closed,closed,1818.34,1,0,0,1680.68,I am home,living_room,afternoon,fan,ON
18.63,83.57,87.23,67.57,0,54.78,3,closed,closed,807.81,1,1,0,1423.52,I am home,bedroom,afternoon,fan,ON
36.12,75.45,14.77,77.64,0,178.72,0,closed,closed,333.51,0,1,0,1880.69,close the door,bedroom,afternoon,fan,ON
36.21,81.32,96.61,80.06,0,207.06,3,open,closed,836.57,1,0,0,235.85,I am leaving,kitchen,afternoon,fan,ON
23.68,33.31,39.0,74.25,0,124.81,2,closed,open,388.14,0,0,1,1184.01,I am leaving,bathroom,morning,window,CLOSE
26.68,84.42,60.07,14.82,0,284.6,1,closed,closed,456.77,1,1,1,209.35,it's hot,living_room,night,fan,ON
29.47,86.49,67.0,74.95,0,153.14,3,open,closed,1961.99,1,0,0,1884.85,I am leaving,bathroom,morning,fan,ON
32.51,59.69,5.95,60.93,0,67.67,1,closed,open,1338.74,0,1,0,33.06,I am leaving,living_room,afternoon,fan,ON
24.8,48.03,96.37,78.3,0,68.73,0,closed,closed,862.41,1,1,1,1709.38,turn off the fan,bedroom,morning,fan,ON
22.94,76.6,56.79,29.51,0,289.25,1,open,closed,1803.27,0,1,1,1158.72,start the geyser,living_room,evening,fan,ON
25.75,24.01,60.18,78.93,1,233.69,2,closed,closed,1514.45,0,1,1,386.2,I am leaving,bedroom,evening,fan,ON
26.03,57.98,86.39,11.49,1,60.82,2,open,open,1544.13,1,1,1,1344.63,good morning,living_room,morning,fan,ON
27.16,68.21,3.01,61.54,1,19.98,0,open,open,1790.0,1,0,1,1319.5,good morning,bathroom,night,fan,ON
20.85,46.66,67.56,65.1,1,204.51,0,closed,closed,1902.58,0,1,0,1567.09,start the geyser,bedroom,afternoon,fan,ON
23.59,22.29,6.39,35.75,1,284.98,1,closed,closed,514.2,0,0,1,1847.76,close the door,bedroom,morning,light,ON
19.04,46.27,89.43,14.49,0,250.24,0,closed,open,826.69,0,1,1,319.07,I am home,bathroom,morning,fan,ON
21.4,82.51,36.31,23.67,0,89.46,0,closed,closed,1814.94,1,1,1,58.3,I am leaving,living_room,morning,fan,ON
35.64,52.09,50.71,27.54,0,238.81,1,open,closed,931.94,0,0,0,1792.98,I am home,bathroom,afternoon,ac,ON
19.84,56.88,1.76,12.19,1,151.79,2,closed,open,778.79,0,0,0,380.09,good night,living_room,evening,light,OFF
16.8,25.73,9.04,74.65,1,111.83,2,open,open,560.08,0,0,0,1738.81,I am home,bathroom,morning,light,ON
32.05,78.4,70.56,31.23,1,21.98,2,open,open,466.45,1,1,1,1679.68,good morning,bedroom,morning,fan,ON
24.21,22.48,79.81,38.73,1,135.18,1,closed,open,1516.74,0,1,0,1004.22,open the window,bedroom,morning,fan,ON
17.28,26.84,84.0,24.23,1,37.62,3,closed,open,849.79,1,0,0,1455.48,close the door,kitchen,morning,fan,ON
23.83,43.97,79.39,24.77,0,242.21,2,closed,closed,774.47,0,1,0,1411.37,it's hot,bedroom,afternoon,fan,ON
38.81,88.07,19.0,86.54,0,232.23,2,closed,open,445.24,1,0,1,837.25,turn off everything,kitchen,morning,fan,ON
30.7,23.89,45.62,65.62,1,98.13,2,open,open,1860.8,1,0,1,1081.65,turn on the light,bedroom,afternoon,fan,ON
16.11,59.69,17.99,55.36,1,256.22,3,open,closed,1148.19,0,0,0,1717.2,I am leaving,kitchen,afternoon,light,ON
23.45,76.08,38.92,24.49,0,130.67,0,closed,closed,1147.81,0,1,1,860.74,it's hot,living_room,night,fan,ON
28.35,48.56,37.64,19.49,0,254.13,0,closed,open,813.5,1,1,1,712.51,I am leaving,bedroom,afternoon,fan,ON
34.03,47.23,90.32,19.22,1,242.57,2,closed,open,1763.98,0,1,0,1520.03,good night,bathroom,morning,fan,ON
24.1,50.86,89.33,15.73,0,133.89,2,closed,closed,1715.34,1,0,1,1967.69,turn off the fan,kitchen,afternoon,fan,ON
23.54,28.72,77.59,80.47,1,68.57,2,closed,closed,904.61,1,0,0,1759.83,good morning,bedroom,evening,fan,ON
18.38,55.21,42.54,26.97,1,153.95,0,open,closed,329.75,1,1,0,703.64,start the geyser,bedroom,night,fan,ON
26.42,76.1,76.72,68.62,1,212.8,0,closed,closed,1250.17,1,0,0,1735.26,turn off everything,bathroom,evening,fan,ON
39.35,59.63,36.38,16.23,1,134.86,3,closed,closed,485.22,0,0,0,1181.9,good night,bedroom,night,ac,ON
37.69,74.6,34.12,39.38,1,145.49,0,closed,open,860.07,1,1,0,132.75,good night,bathroom,afternoon,fan,ON
29.03,25.13,10.15,22.12,1,141.23,3,open,closed,1088.68,1,0,0,144.92,I am leaving,living_room,morning,fan,ON
21.95,29.06,82.8,78.54,0,270.81,0,open,closed,468.67,0,0,0,931.95,turn off everything,living_room,morning,light,OFF
28.41,59.41,22.8,42.33,1,217.19,2,open,open,588.91,1,0,0,1375.73,it's hot,kitchen,evening,fan,ON
24.97,59.91,65.14,31.76,0,234.75,1,closed,closed,693.02,1,1,0,802.05,good morning,living_room,afternoon,fan,ON
28.69,54.12,38.18,55.94,0,263.98,2,closed,closed,1494.01,0,1,0,393.82,I am leaving,bedroom,morning,fan,ON
32.88,81.07,99.43,89.67,1,82.76,1,open,closed,352.52,1,1,0,1586.82,turn off the fan,living_room,morning,fan,ON
20.95,85.53,7.43,19.26,1,198.82,0,open,open,1306.04,1,0,0,1586.2,turn on the light,living_room,night,fan,ON
34.14,62.33,15.68,17.95,0,33.22,1,closed,open,1189.21,0,1,0,100.89,I am leaving,bathroom,evening,fan,ON
35.22,39.19,82.87,20.77,0,119.17,1,open,open,882.65,1,0,0,1952.77,turn on the light,kitchen,night,fan,ON
36.38,34.97,60.71,13.21,0,255.59,0,open,closed,1079.5,0,0,0,719.1,I am home,living_room,morning,ac,ON
17.1,87.0,15.24,81.9,1,100.42,2,closed,closed,567.82,0,1,0,21.14,it's hot,bedroom,afternoon,fan,ON
36.75,68.4,97.14,58.48,0,206.23,1,closed,closed,794.47,0,1,0,1781.06,turn on the light,bathroom,night,fan,ON
38.3,29.32,85.49,21.53,0,84.45,1,open,open,1862.47,1,1,1,1681.83,turn off everything,living_room,evening,fan,ON
22.6,56.07,41.35,17.73,1,22.58,0,closed,closed,552.86,1,0,1,1609.7,good night,kitchen,morning,fan,ON
31.86,49.07,28.57,48.02,1,110.39,2,closed,open,1112.53,1,1,1,373.71,turn off everything,kitchen,night,fan,ON
28.34,61.17,87.72,82.07,1,102.61,2,closed,open,453.71,0,0,0,984.58,start the geyser,kitchen,morning,light,ON
20.43,53.19,80.82,57.97,0,286.52,3,open,closed,1672.92,1,0,0,695.94,turn off everything,bathroom,night,fan,ON
21.09,41.16,91.02,43.13,0,134.56,0,closed,closed,1020.76,1,1,1,1225.23,good night,bathroom,night,fan,ON
28.89,70.85,29.68,44.87,0,276.35,2,open,closed,776.61,0,1,1,1865.97,I am leaving,bathroom,night,fan,ON
37.59,34.85,48.74,72.73,1,139.86,2,closed,closed,1368.86,1,0,0,1584.49,I am home,living_room,evening,fan,ON
27.12,43.21,90.16,26.82,0,11.34,0,open,closed,1503.79,1,0,1,524.94,turn on the light,bedroom,afternoon,fan,ON
23.08,61.59,80.84,44.29,0,294.89,3,open,open,698.16,1,0,0,559.38,good morning,living_room,morning,fan,ON
35.4,33.39,20.89,89.77,0,152.12,2,closed,closed,1728.91,1,0,0,1299.27,I am leaving,bedroom,morning,fan,ON
25.58,57.43,7.02,74.0,0,18.41,3,closed,open,1452.88,0,0,0,994.01,turn off the fan,living_room,night,window,OPEN
27.41,39.19,99.14,15.19,1,74.92,2,closed,closed,1815.41,0,1,0,1722.18,open the window,bedroom,morning,fan,ON
32.15,28.03,95.54,38.6,1,12.04,2,closed,closed,966.7,1,1,0,1386.29,open the window,kitchen,night,fan,ON
22.83,29.43,88.8,64.11,1,216.26,1,open,open,1861.6,0,1,1,1641.95,start the geyser,bathroom,morning,fan,ON
33.66,58.7,7.34,11.77,1,55.43,3,open,closed,1663.1,1,1,1,735.85,close the door,living_room,night,fan,ON
23.56,29.78,21.94,36.18,0,240.03,2,open,closed,419.91,0,1,1,1721.64,turn off the fan,living_room,afternoon,fan,ON
33.75,28.92,40.25,64.25,0,11.43,3,closed,open,384.38,0,0,0,1118.85,I am home,living_room,morning,ac,ON
23.49,20.73,78.85,80.22,1,132.41,1,open,open,607.73,1,0,0,149.99,open the window,bedroom,evening,fan,ON
36.84,85.76,82.01,86.13,1,86.98,3,closed,open,488.77,0,1,1,151.85,good night,kitchen,afternoon,fan,ON
20.42,61.22,54.69,14.1,1,205.65,0,closed,closed,924.69,1,1,0,644.09,close the door,living_room,evening,fan,ON
39.58,22.41,27.56,22.32,1,22.97,1,closed,open,1070.64,1,1,0,545.01,it's hot,bedroom,morning,fan,ON
38.3,85.89,21.6,20.97,0,278.12,2,open,open,1381.78,0,0,0,709.43,it's hot,bathroom,afternoon,window,OPEN
18.8,52.93,74.35,79.44,1,208.73,2,open,closed,1685.5,0,0,1,1599.25,open the window,living_room,night,window,OPEN
17.27,27.73,63.38,80.16,0,273.58,0,closed,open,575.78,1,0,1,1004.62,it's hot,kitchen,afternoon,fan,ON
29.85,25.26,89.61,25.37,0,204.47,3,open,closed,1232.49,0,1,0,1727.2,turn off everything,bathroom,evening,fan,ON
35.65,37.49,80.98,85.46,1,162.42,2,open,closed,1534.17,0,1,0,336.6,turn off everything,bathroom,afternoon,fan,ON
23.15,27.97,62.87,74.17,0,295.98,1,open,open,1304.41,1,1,0,520.05,turn off everything,bedroom,evening,fan,ON
19.94,64.34,45.37,79.3,0,183.01,1,open,closed,1035.76,1,1,1,1757.33,turn off the fan,bathroom,afternoon,fan,ON
26.49,42.72,2.36,20.1,1,85.95,1,open,open,1243.01,1,1,1,1495.77,turn on the light,kitchen,night,fan,ON
27.75,66.45,98.91,79.59,1,75.03,2,open,closed,1135.48,0,0,1,1297.71,good morning,kitchen,evening,light,ON
39.83,86.97,2.32,65.78,1,231.64,2,closed,closed,373.15,1,0,0,865.94,open the window,kitchen,evening,fan,ON
34.02,75.31,46.4,39.81,1,200.28,0,closed,closed,711.62,1,1,1,971.84,good morning,living_room,afternoon,fan,ON
36.31,36.05,94.31,39.82,1,45.68,0,closed,open,1099.31,1,0,1,1641.48,good night,bedroom,morning,fan,ON
34.95,82.51,83.94,23.97,1,77.59,1,open,closed,1574.12,1,0,0,1806.28,good morning,living_room,morning,fan,ON
30.67,66.22,94.49,16.11,1,216.26,0,open,open,1388.91,1,0,0,894.59,open the window,bathroom,morning,fan,ON
23.63,23.34,96.12,48.53,1,89.06,3,closed,open,647.36,1,0,1,95.01,open the window,kitchen,night,fan,ON
24.18,85.53,90.25,33.8,0,286.71,2,open,closed,1338.28,1,1,0,52.41,open the window,bathroom,afternoon,fan,ON
24.49,47.59,21.96,62.08,1,190.27,2,open,closed,1466.47,0,1,1,1739.71,close the door,kitchen,evening,fan,ON
37.5,56.34,86.28,83.37,1,294.17,3,open,open,1261.4,0,0,0,1591.17,good night,bedroom,afternoon,window,OPEN
22.79,71.8,95.25,12.72,1,103.64,1,open,open,807.64,1,0,1,363.07,it's hot,bathroom,night,fan,ON
22.95,53.24,8.38,57.15,0,168.64,0,closed,open,415.86,0,1,0,920.28,I am home,living_room,evening,fan,ON
25.6,48.38,11.7,11.6,1,126.94,1,closed,open,311.52,1,0,0,983.46,open the window,kitchen,night,fan,ON
19.92,22.97,70.33,24.97,1,118.76,3,open,closed,1746.93,1,0,1,266.88,it's hot,living_room,morning,fan,ON
39.95,76.22,25.23,19.18,1,184.09,3,closed,open,1318.6,1,1,0,34.7,I am home,bathroom,afternoon,fan,ON
24.74,87.57,23.29,50.87,1,95.24,3,open,open,1228.12,1,0,1,26.0,turn off the fan,living_room,morning,fan,ON
21.59,24.81,88.76,78.28,0,37.96,0,open,open,1584.52,1,0,0,698.86,turn on the light,bedroom,night,fan,ON
28.87,86.37,13.51,78.45,0,43.91,1,closed,open,471.63,1,0,0,844.56,good night,bathroom,night,fan,ON
25.4,48.97,87.38,48.73,1,252.09,3,open,open,687.98,1,1,0,1281.9,good night,kitchen,afternoon,fan,ON
34.36,46.11,18.96,14.24,1,99.31,3,closed,open,1338.25,1,1,1,989.72,start the geyser,kitchen,afternoon,fan,ON
18.56,27.67,93.63,70.18,0,15.63,3,open,closed,760.29,0,0,0,636.49,open the window,bedroom,evening,geyser,ON
20.14,63.42,93.05,80.87,0,237.73,0,open,open,1762.09,1,0,0,1580.27,good night,bedroom,evening,fan,ON
22.46,38.21,2.94,38.67,0,49.42,2,open,open,1084.55,1,0,1,1264.94,open the window,living_room,evening,fan,ON
28.88,63.55,68.02,64.38,0,186.71,1,open,open,578.48,1,0,0,94.04,turn on the light,bathroom,night,fan,ON
25.62,36.51,33.2,60.88,1,262.52,3,open,open,1950.78,1,1,0,236.98,turn off the fan,kitchen,night,fan,ON
30.29,29.82,57.36,75.92,1,269.9,2,open,closed,858.28,1,0,1,477.29,it's hot,kitchen,afternoon,fan,ON
31.77,70.63,3.93,47.89,1,268.6,1,open,closed,825.54,1,0,0,1378.67,turn off everything,bathroom,morning,fan,ON
29.04,84.93,73.29,74.48,0,292.06,0,closed,closed,442.9,0,0,0,1107.15,it's hot,living_room,afternoon,ac,ON
20.07,38.49,20.34,61.65,0,26.44,0,closed,open,1760.86,0,1,1,439.94,good night,bathroom,evening,fan,ON
25.81,32.13,3.21,31.86,0,26.72,1,open,open,445.1,1,0,1,1952.81,I am home,bathroom,morning,fan,ON
39.03,35.95,38.93,88.98,1,282.87,3,open,closed,1035.3,0,1,0,968.98,I am home,bedroom,night,fan,ON
37.74,34.34,9.69,68.51,1,176.74,3,open,open,991.44,1,0,0,73.7,turn off everything,bathroom,afternoon,fan,ON
20.28,36.02,79.58,74.59,1,189.81,2,open,open,1782.08,0,0,0,997.08,it's hot,living_room,morning,window,OPEN
31.59,53.93,14.75,47.3,0,288.1,2,open,open,1335.41,0,1,0,47.62,turn off everything,bedroom,evening,fan,ON
37.07,22.57,70.58,39.13,1,143.14,0,open,open,332.08,0,0,1,1973.15,turn on the light,bedroom,night,window,CLOSE
19.42,60.87,7.29,51.5,0,117.37,0,closed,closed,512.99,1,1,0,1155.82,it's hot,bathroom,afternoon,fan,ON
27.97,46.31,57.79,67.69,1,25.75,3,open,closed,1204.12,0,1,1,1325.52,I am leaving,living_room,morning,fan,ON
29.48,52.17,95.36,67.31,1,69.62,0,closed,closed,947.06,1,1,1,1688.21,I am leaving,bedroom,night,fan,ON
30.77,31.72,80.73,71.34,1,18.63,3,closed,closed,940.17,1,1,0,876.47,open the window,bathroom,afternoon,fan,ON
31.9,84.19,29.55,24.65,0,229.63,1,open,open,852.94,0,0,1,1498.04,good morning,living_room,evening,window,CLOSE
37.52,73.11,92.9,36.77,1,205.33,1,open,closed,1394.64,1,1,0,1600.22,I am home,bedroom,afternoon,fan,ON
17.64,52.83,77.48,80.99,0,131.67,2,closed,closed,1285.03,1,0,0,1539.13,I am leaving,bedroom,night,fan,ON
38.28,52.51,67.02,13.78,0,254.11,3,closed,closed,315.26,1,0,0,1568.12,I am leaving,kitchen,night,fan,ON
31.39,48.12,68.59,88.65,0,145.8,2,open,open,1367.51,0,0,1,750.03,turn on the light,bedroom,evening,window,CLOSE
30.99,71.11,87.51,57.05,1,180.19,3,closed,closed,904.59,1,0,0,1541.61,I am home,bedroom,evening,fan,ON
21.21,43.27,42.89,86.78,0,83.66,1,closed,open,1024.94,1,0,0,1867.48,I am leaving,living_room,afternoon,fan,ON
25.03,73.72,51.72,31.95,0,105.66,2,closed,open,1799.37,1,1,0,1902.29,it's hot,bedroom,night,fan,ON
31.26,65.33,3.94,57.39,1,220.37,1,open,open,1206.24,1,0,0,1682.38,turn on the light,bedroom,night,fan,ON
37.94,69.96,0.45,58.15,0,227.85,0,open,closed,389.8,0,0,1,1400.06,turn off everything,kitchen,afternoon,ac,ON
23.3,53.74,72.41,55.34,0,109.99,0,closed,closed,1440.08,1,1,0,540.05,start the geyser,bedroom,evening,fan,ON
32.09,53.42,95.21,48.77,1,239.88,1,open,closed,1011.47,0,1,1,1413.27,good night,bathroom,morning,fan,ON
26.97,54.33,67.65,70.28,0,217.31,3,closed,open,1607.87,0,1,0,814.27,I am leaving,bedroom,evening,fan,ON
20.29,48.48,62.09,61.16,1,143.81,3,open,open,943.82,1,1,1,1963.31,start the geyser,kitchen,morning,fan,ON
22.51,43.26,54.71,68.62,1,21.05,1,open,closed,1998.86,1,0,1,1817.8,I am leaving,bathroom,night,fan,ON
24.0,82.67,54.24,44.87,1,299.73,1,open,open,1570.28,0,0,0,935.17,close the door,bedroom,night,window,OPEN
19.34,72.32,68.37,12.4,0,296.97,0,open,open,1874.38,0,0,1,1532.48,turn off the fan,bathroom,evening,window,CLOSE
17.57,79.04,50.97,76.32,0,180.6,3,open,closed,1543.07,1,1,0,175.99,I am home,living_room,afternoon,fan,ON
35.45,73.75,17.42,38.6,0,239.42,0,open,closed,938.94,0,0,1,966.52,I am home,kitchen,afternoon,ac,ON
34.48,74.98,82.3,29.35,1,121.8,3,open,closed,1193.82,0,1,0,1878.31,I am leaving,bathroom,night,fan,ON
19.62,59.37,83.83,28.48,1,286.15,3,closed,open,1566.24,1,1,1,1396.86,open the window,kitchen,morning,fan,ON
25.75,61.53,91.02,24.7,0,168.09,1,open,closed,1262.83,0,0,1,997.67,close the door,bedroom,night,window,OPEN
29.0,62.54,34.47,23.08,0,185.21,3,open,open,1611.88,0,0,0,37.63,I am leaving,bedroom,afternoon,window,OPEN
33.41,66.71,11.43,62.47,0,154.57,0,open,closed,1787.67,0,1,0,1191.81,turn off the fan,living_room,morning,fan,ON
37.24,83.4,66.74,87.9,0,184.14,2,closed,open,1491.1,0,1,0,1486.99,turn off everything,kitchen,morning,fan,ON
26.13,61.64,59.32,18.93,0,160.65,1,closed,open,1065.25,1,0,0,1842.98,close the door,bathroom,night,fan,ON
30.74,40.33,13.75,19.18,0,211.18,3,open,closed,733.18,0,0,0,609.45,close the door,bathroom,morning,ac,ON
16.91,54.88,3.46,54.32,0,132.03,1,open,closed,1426.99,0,1,1,829.29,good night,bathroom,night,fan,ON
22.23,28.09,17.5,61.32,1,126.13,0,open,closed,536.9,0,0,1,626.4,good morning,living_room,evening,light,ON
33.3,77.2,70.16,87.1,0,41.95,0,closed,closed,1932.11,1,1,0,710.99,start the geyser,living_room,afternoon,fan,ON
31.7,75.01,53.22,36.3,1,88.38,0,open,open,1068.93,1,1,0,1239.19,it's hot,living_room,morning,fan,ON
17.71,85.08,40.25,63.28,1,17.99,0,closed,closed,1916.17,0,1,1,1105.42,close the door,living_room,night,fan,ON
37.31,62.9,64.41,72.93,0,58.55,3,open,open,705.09,0,0,1,1379.55,turn off everything,bedroom,afternoon,window,CLOSE
29.54,85.17,66.43,12.46,0,27.75,3,open,closed,1761.62,0,1,1,781.42,open the window,living_room,evening,fan,ON
38.33,39.37,21.76,57.19,1,94.33,1,open,open,537.17,1,0,1,1738.05,I am leaving,kitchen,morning,fan,ON
39.74,69.75,30.86,29.18,0,257.65,1,open,open,1249.86,0,1,0,1400.14,turn off the fan,bedroom,evening,fan,ON
28.1,40.59,58.34,49.18,0,27.37,2,open,closed,1818.3,0,1,0,362.15,I am home,living_room,afternoon,fan,ON
21.4,38.9,77.59,83.49,1,120.91,3,open,open,1999.19,1,1,1,1391.49,good morning,bedroom,morning,fan,ON
33.81,73.47,90.25,28.49,0,67.07,2,closed,open,844.02,1,1,0,1662.45,I am home,bathroom,morning,fan,ON
20.53,73.72,13.39,84.3,0,43.73,2,closed,open,1724.03,0,0,1,769.16,good night,bedroom,morning,window,CLOSE
27.95,76.33,81.62,57.12,1,72.36,0,open,closed,1941.68,0,1,0,1397.46,good night,bedroom,afternoon,fan,ON
19.02,82.34,24.61,23.8,0,67.92,0,open,open,1850.73,1,0,0,1817.76,I am home,kitchen,evening,fan,ON
35.07,38.87,67.37,20.83,1,110.83,3,closed,closed,1744.38,1,0,1,836.87,open the window,bedroom,afternoon,fan,ON
22.11,53.13,2.97,53.34,0,279.79,3,open,closed,1112.06,1,0,1,1444.77,turn off the fan,kitchen,afternoon,fan,ON
35.24,73.98,42.33,11.4,0,28.89,1,closed,closed,1896.22,1,1,1,1174.58,turn on the light,bedroom,morning,fan,ON
32.3,49.02,28.85,69.66,1,254.19,2,closed,closed,1052.51,1,1,1,1418.32,turn off everything,living_room,evening,fan,ON
18.2,33.9,85.43,54.0,0,98.31,3,open,open,1489.49,0,1,1,203.18,turn off the fan,kitchen,night,fan,ON
28.23,79.71,67.24,52.31,1,156.17,2,open,closed,511.03,0,1,1,809.1,start the geyser,living_room,afternoon,fan,ON
33.76,73.78,72.79,43.02,0,292.84,2,open,open,1479.5,1,0,0,96.97,turn off the fan,kitchen,evening,fan,ON
26.77,82.2,9.63,78.58,1,125.99,3,open,closed,1077.06,1,1,0,726.75,it's hot,kitchen,evening,fan,ON
18.71,36.08,89.22,21.75,0,35.99,1,closed,closed,1765.57,1,0,0,244.07,open the window,kitchen,morning,fan,ON
17.41,77.31,64.71,13.28,0,240.0,2,closed,closed,1015.33,0,1,1,902.09,it's hot,bathroom,afternoon,fan,ON
25.93,72.08,9.85,49.77,0,266.85,2,open,open,821.18,1,0,1,1393.34,good morning,bathroom,morning,fan,ON
17.35,81.69,72.18,86.05,1,78.41,2,open,open,1774.0,0,0,0,335.44,turn on the light,living_room,afternoon,window,OPEN
36.35,44.06,35.9,89.9,0,36.71,1,open,open,847.5,0,1,0,1645.56,turn off the fan,living_room,morning,fan,ON
21.94,73.99,15.85,13.55,1,51.89,0,open,open,769.44,0,1,0,1653.63,I am leaving,living_room,afternoon,fan,ON
26.55,74.84,79.5,88.95,0,297.96,2,open,closed,1247.69,1,1,1,1215.5,good night,bedroom,evening,fan,ON
29.78,23.38,89.46,66.4,1,205.34,0,closed,open,1201.49,0,1,0,1270.25,it's hot,bathroom,evening,fan,ON
31.66,50.08,97.85,55.44,0,151.8,3,open,open,1903.31,1,0,1,475.23,good morning,living_room,afternoon,fan,ON
37.64,62.77,85.19,42.94,0,17.0,3,open,open,1689.12,1,1,1,1019.4,it's hot,bathroom,morning,fan,ON
21.66,43.97,13.97,34.8,1,284.97,3,open,closed,1510.64,1,1,1,1702.66,good morning,kitchen,evening,fan,ON
28.59,24.17,82.63,47.78,0,190.78,0,closed,closed,1423.59,1,0,0,515.79,turn off the fan,bathroom,night,fan,ON
30.69,71.82,32.97,40.53,0,218.77,0,open,closed,866.44,0,0,1,777.14,good night,bathroom,morning,ac,ON
32.12,59.54,78.37,70.41,0,14.75,3,open,closed,1294.26,0,0,1,211.08,good morning,living_room,afternoon,window,OPEN
31.1,30.2,44.73,22.1,1,208.48,1,closed,open,1960.74,1,1,0,528.22,turn off everything,bathroom,night,fan,ON
27.24,49.38,41.25,27.42,0,260.65,0,open,closed,733.16,0,1,0,854.32,good night,bathroom,evening,fan,ON
37.69,30.33,95.34,82.56,1,65.2,0,open,open,1568.63,0,0,1,1918.59,I am home,bedroom,afternoon,window,CLOSE
36.27,72.67,24.5,58.04,1,243.75,0,open,open,736.67,1,0,0,1589.53,turn on the light,bathroom,morning,fan,ON
28.19,49.53,57.26,16.96,1,146.24,1,open,open,1065.46,1,0,0,1788.44,turn on the light,bedroom,evening,fan,ON
27.6,70.97,67.76,18.03,0,84.18,1,closed,closed,1861.58,0,0,0,1455.88,good night,bedroom,afternoon,window,OPEN
24.87,43.37,73.4,59.1,0,102.54,2,open,closed,697.14,0,1,0,116.75,good night,bedroom,evening,fan,ON
16.38,49.9,36.31,44.66,1,46.0,0,open,closed,1540.03,1,1,0,1809.57,turn off everything,kitchen,afternoon,fan,ON
31.42,56.96,86.94,32.58,0,275.1,3,open,closed,385.88,0,0,1,1721.05,turn off everything,kitchen,evening,ac,ON
29.61,68.62,31.85,13.76,1,27.28,1,open,closed,328.46,0,0,0,1332.21,turn off the fan,living_room,morning,light,ON
27.88,65.17,44.83,16.1,1,214.18,3,closed,open,775.56,0,0,0,64.56,it's hot,bedroom,afternoon,ac,ON
