temperature,humidity,light_intensity,noise_level,pir_motion,person_count,door_state,window_state,co2_level,gas_leak,smoke_detected,rain_detected,voice_command,room_type,time_of_day,device,state
36.06,78.98,67.94,45.83,0,0,open,open,744.96,0,1,0,check the door,bathroom,morning,door,ON
26.12,31.88,63.12,60.81,0,3,open,closed,1157.54,1,0,1,how s the geyser,office,night,geyser,ON
35.85,39.76,80.16,33.2,0,1,open,open,696.92,0,1,0,close the coffee_maker,living_room,afternoon,coffee_maker,OFF
18.43,62.63,22.07,13.41,1,1,closed,open,1110.58,1,0,1,switch off the door,bathroom,night,door,OFF
25.45,23.31,93.72,57.23,0,2,open,closed,992.86,0,0,1,switch on the curtain,bedroom,evening,curtain,ON
19.04,24.64,84.67,56.9,0,1,open,closed,1421.38,0,0,1,activate the tv,living_room,morning,tv,ON
19.8,49.68,81.95,37.42,1,0,closed,open,1086.49,1,1,0,is the water_motor off,garage,afternoon,water_motor,OFF
17.63,49.45,60.88,36.63,1,3,closed,closed,1366.37,1,1,0,switch off the fan,garage,evening,fan,OFF
20.63,31.62,51.84,74.17,0,3,open,closed,1865.5,1,1,0,close the fan,office,afternoon,fan,OFF
27.48,79.17,68.51,28.69,0,3,closed,open,493.48,1,1,1,deactivate the coffee_maker,bedroom,night,coffee_maker,OFF
30.35,34.11,66.37,19.34,0,3,closed,open,1407.23,0,0,0,open the window,bathroom,evening,window,ON
36.0,85.91,33.6,27.08,0,0,open,open,1766.33,0,0,1,switch on the heater,bedroom,afternoon,heater,ON
24.79,27.77,88.12,47.95,0,3,closed,open,1697.56,0,1,1,is the fan off,bedroom,night,fan,OFF
33.43,20.74,68.92,61.69,0,3,open,closed,1238.46,0,1,0,status of the tv,living_room,morning,tv,ON
39.28,27.26,38.28,17.62,0,2,open,closed,864.64,0,0,1,open the heater,office,morning,heater,ON
26.4,23.32,91.84,69.81,0,0,open,open,1940.09,0,1,0,is the music_system off,bedroom,morning,music_system,OFF
17.62,77.64,79.71,31.94,0,1,closed,open,562.35,0,1,0,check the ac,kitchen,evening,ac,ON
15.75,37.02,46.08,47.4,0,0,closed,open,1301.01,1,1,0,what s up with the aquarium_pump,kitchen,night,aquarium_pump,ON
22.91,35.45,17.6,63.56,0,0,open,open,1668.18,1,1,1,switch off the fan,balcony,night,fan,OFF
18.93,51.46,13.09,55.34,1,2,closed,closed,1253.74,1,1,1,start the coffee_maker,bedroom,afternoon,coffee_maker,OFF
31.77,53.14,9.32,60.66,0,2,open,open,837.52,1,0,1,activate the water_motor,bathroom,evening,water_motor,ON
27.92,77.56,35.83,49.95,0,2,open,closed,1768.52,1,1,0,what s up with the curtain,living_room,afternoon,curtain,ON
35.1,37.07,5.82,10.83,0,1,open,closed,868.17,1,0,0,switch off the air_purifier,balcony,night,air_purifier,OFF
38.4,77.29,30.05,76.32,1,1,closed,open,1018.63,1,1,1,start the aquarium_pump,balcony,evening,aquarium_pump,ON
24.94,74.0,94.19,61.17,0,2,open,open,1504.87,0,1,1,is the light on,kitchen,morning,light,ON
24.1,82.16,24.14,67.38,1,2,closed,closed,483.62,1,1,0,is the music_system on,garage,morning,music_system,ON
26.91,58.39,86.62,14.95,1,2,open,open,1811.58,1,1,0,is the geyser off,balcony,evening,geyser,OFF
21.13,20.29,69.35,26.65,1,3,closed,open,1476.39,1,1,0,open the cctv_camera,bedroom,afternoon,cctv_camera,ON
23.22,35.9,81.35,31.44,1,2,closed,open,1727.93,0,0,1,switch on the air_purifier,living_room,evening,air_purifier,ON
21.52,48.92,46.9,54.39,1,2,open,open,995.8,1,1,1,close the geyser,bathroom,evening,geyser,OFF
37.45,39.3,56.32,19.03,0,2,open,closed,1292.95,0,0,1,status of the ac,kitchen,morning,ac,ON
37.44,34.84,27.2,66.52,1,3,open,open,923.34,1,1,0,open the music_system,garage,night,music_system,ON
29.7,54.57,82.46,19.09,1,2,closed,open,1855.45,1,1,1,what s up with the cctv_camera,garage,morning,cctv_camera,ON
23.56,35.83,85.02,13.37,0,3,open,open,1641.02,0,0,0,open the desk_lamp,garage,evening,desk_lamp,ON
30.71,24.2,80.34,42.57,0,2,closed,open,995.35,1,1,0,switch off the cctv_camera,bedroom,afternoon,cctv_camera,OFF
28.27,52.38,51.22,72.39,1,2,closed,open,444.04,0,0,0,turn on the fan,living_room,afternoon,fan,ON
27.72,81.28,62.42,79.93,0,3,open,open,1701.12,1,0,1,switch off the desk_lamp,garage,morning,desk_lamp,OFF
36.84,44.29,27.1,72.5,1,1,closed,closed,1301.5,1,1,0,deactivate the curtain,living_room,night,curtain,OFF
33.9,52.14,65.63,47.37,0,2,closed,closed,1669.67,1,1,0,status of the window,balcony,morning,window,ON
34.45,64.85,20.85,35.85,1,1,closed,closed,1517.78,1,1,0,turn on the humidifier,bedroom,afternoon,humidifier,ON
33.9,46.0,6.46,18.56,0,3,closed,closed,733.72,0,1,0,check the water_motor,bedroom,morning,water_motor,ON
18.16,56.51,15.08,78.31,0,0,closed,closed,1758.98,0,0,0,status of the cctv_camera,bathroom,morning,cctv_camera,ON
32.97,25.15,26.13,50.7,1,3,closed,open,1647.07,0,0,1,close the humidifier,office,morning,humidifier,OFF
30.03,48.54,65.53,73.46,1,3,open,open,1406.15,1,1,1,open the tv,bathroom,morning,tv,ON
32.58,41.12,15.44,18.17,1,2,open,closed,693.8,1,0,0,what s up with the water_motor,office,evening,water_motor,ON
28.52,49.4,49.05,53.91,0,0,closed,open,571.53,0,1,1,how s the door,bathroom,evening,door,ON
17.22,60.99,64.56,59.17,1,0,open,closed,1794.44,0,0,1,check the heater,kitchen,afternoon,heater,ON
16.38,20.18,71.9,37.95,1,3,closed,open,1205.44,0,0,0,activate the tv,office,evening,tv,ON
19.54,85.55,50.66,26.37,0,0,open,open,753.16,0,0,1,is the door on,balcony,evening,door,ON
26.35,63.0,13.84,29.07,0,0,closed,open,1467.86,0,1,1,is the ac off,bedroom,night,ac,OFF
35.98,65.91,78.95,75.83,0,2,open,open,1139.73,1,1,1,start the door,living_room,evening,door,ON
17.01,84.39,58.16,67.62,1,1,open,closed,1976.45,0,0,1,how s the light,bathroom,night,light,ON
23.62,32.27,13.04,61.01,1,3,closed,open,875.83,1,0,1,switch off the desk_lamp,garage,evening,desk_lamp,OFF
39.42,37.43,84.14,53.51,1,1,open,closed,769.0,0,0,0,is the refrigerator off,bedroom,morning,refrigerator,OFF
26.86,89.78,31.38,47.37,1,1,closed,closed,531.8,0,0,0,turn off the music_system,bedroom,afternoon,music_system,OFF
29.49,81.98,22.24,32.17,1,3,open,closed,1379.24,0,1,1,open the dehumidifier,garage,night,dehumidifier,ON
38.49,31.39,41.96,36.81,0,1,open,open,1672.35,1,0,1,how s the ac,office,night,ac,ON
30.02,58.42,30.16,23.64,0,2,open,closed,577.62,1,1,0,is the coffee_maker on,balcony,evening,coffee_maker,OFF
29.47,42.35,94.52,71.05,0,2,open,open,935.48,0,1,1,switch off the cctv_camera,bedroom,afternoon,cctv_camera,OFF
38.15,22.67,47.93,22.7,0,2,closed,closed,1335.06,1,1,0,how s the door,balcony,afternoon,door,ON
28.97,29.62,73.12,13.03,1,3,closed,closed,1943.0,0,0,1,check the door,office,morning,door,ON
18.02,82.83,93.77,59.53,1,2,open,open,1697.74,1,0,1,stop the geyser,garage,night,geyser,OFF
28.77,45.42,62.68,44.69,0,3,closed,closed,1021.88,1,1,0,turn off the door,office,afternoon,door,OFF
37.55,86.1,66.25,40.57,0,1,open,closed,1493.99,1,1,0,turn off the curtain,bedroom,afternoon,curtain,OFF
33.94,44.31,40.07,55.78,0,2,closed,open,1235.55,0,1,0,start the air_purifier,garage,morning,air_purifier,ON
36.04,50.77,5.12,51.86,1,1,open,closed,413.48,0,0,0,switch on the geyser,bedroom,evening,geyser,ON
33.32,61.19,89.68,21.29,1,1,open,open,1993.47,1,0,1,start the phone_charger,bedroom,evening,phone_charger,ON
27.53,86.32,62.1,19.67,1,3,open,closed,1018.05,1,0,0,switch on the door,office,night,door,ON
29.45,25.5,98.77,29.89,1,0,open,open,506.06,1,1,0,is the refrigerator off,balcony,afternoon,refrigerator,OFF
19.02,34.1,84.33,48.68,0,2,open,closed,1032.73,1,1,0,open the window,bedroom,night,window,ON
20.7,21.08,88.46,16.2,1,1,open,closed,1215.67,0,1,1,check the phone_charger,garage,afternoon,phone_charger,ON
33.15,60.33,63.6,72.81,1,3,closed,open,470.28,1,1,0,switch on the coffee_maker,bathroom,evening,coffee_maker,OFF
30.05,83.1,36.83,77.18,1,2,closed,open,1303.43,0,0,0,turn off the humidifier,office,morning,humidifier,OFF
26.75,37.28,67.57,37.35,1,1,open,closed,404.46,1,1,0,open the music_system,bedroom,morning,music_system,ON
29.49,37.16,37.7,32.14,0,2,open,closed,1289.09,0,0,0,is the fan on,bathroom,afternoon,fan,ON
18.3,33.08,23.31,64.42,1,0,closed,open,1175.64,1,1,0,deactivate the humidifier,living_room,afternoon,humidifier,OFF
38.47,82.73,24.58,57.75,1,2,closed,closed,487.26,1,1,0,switch off the refrigerator,garage,morning,refrigerator,OFF
39.51,83.68,37.69,35.39,1,0,open,open,1432.97,0,1,0,switch on the water_motor,bedroom,morning,water_motor,ON
20.91,87.2,38.13,44.57,0,2,open,closed,1678.29,1,0,1,turn on the aquarium_pump,balcony,afternoon,aquarium_pump,ON
23.69,60.23,13.46,19.0,0,0,open,open,1213.08,0,0,1,stop the heater,office,morning,heater,OFF
19.12,80.09,58.63,49.9,0,3,closed,open,849.39,1,1,1,is the coffee_maker off,kitchen,afternoon,coffee_maker,OFF
38.09,76.56,33.73,12.07,0,0,open,closed,1225.73,1,0,0,turn off the desk_lamp,office,afternoon,desk_lamp,OFF
36.87,37.1,70.12,36.75,1,2,open,closed,1242.12,0,0,1,deactivate the cctv_camera,living_room,morning,cctv_camera,OFF
17.29,27.6,57.1,21.96,0,2,closed,open,1001.97,1,1,1,close the air_purifier,balcony,evening,air_purifier,OFF
22.14,82.89,66.16,28.67,0,3,closed,closed,1884.3,0,1,1,deactivate the heater,bedroom,evening,heater,OFF
26.1,24.8,29.12,15.97,0,0,open,open,913.92,1,0,1,is the music_system off,office,morning,music_system,OFF
38.97,28.15,15.52,64.04,1,0,open,open,867.26,0,0,1,is the curtain off,garage,night,curtain,OFF
17.07,74.64,10.79,28.29,0,1,open,closed,1096.37,1,1,1,open the music_system,kitchen,afternoon,music_system,ON
30.19,46.41,13.95,61.98,1,1,closed,closed,1508.75,0,0,1,status of the light,bedroom,afternoon,light,ON
30.76,35.37,30.01,50.08,1,0,closed,closed,1956.45,0,1,1,close the tv,bathroom,morning,tv,OFF
21.33,45.55,37.31,60.2,1,2,open,closed,1419.96,1,1,0,stop the curtain,living_room,evening,curtain,OFF
25.42,22.77,56.61,21.23,0,3,open,closed,770.3,1,0,0,switch off the ac,balcony,afternoon,ac,OFF
19.42,72.58,78.72,75.39,0,3,open,closed,1177.54,0,0,1,deactivate the phone_charger,living_room,afternoon,phone_charger,OFF
26.02,49.02,38.33,78.91,1,2,open,open,943.72,1,1,0,turn on the light,office,morning,light,ON
34.58,37.64,36.21,39.43,1,0,open,closed,904.76,1,0,0,turn off the door,bathroom,evening,door,OFF
36.2,39.78,70.95,10.13,1,3,closed,open,1084.82,1,1,0,what s up with the light,garage,morning,light,ON
35.3,51.7,80.22,75.28,0,2,closed,open,1378.76,1,0,0,open the window,kitchen,afternoon,window,ON
16.4,81.01,57.6,44.97,1,3,closed,open,810.56,0,1,0,is the water_motor off,bathroom,afternoon,water_motor,OFF
38.23,84.29,54.72,42.91,0,2,open,closed,1334.61,0,1,0,deactivate the refrigerator,garage,evening,refrigerator,OFF
32.43,26.54,63.81,48.61,0,3,open,closed,1063.25,0,0,1,how s the phone_charger,office,night,phone_charger,ON
19.34,24.17,66.29,26.16,0,0,open,open,1661.5,1,1,1,deactivate the coffee_maker,living_room,night,coffee_maker,OFF
30.76,30.56,68.64,49.97,1,3,open,closed,1089.92,0,1,1,switch off the air_purifier,living_room,afternoon,air_purifier,OFF
26.84,45.52,18.88,74.54,0,2,closed,closed,939.25,1,0,1,status of the dehumidifier,bedroom,afternoon,dehumidifier,ON
15.7,78.46,80.14,19.39,0,2,closed,closed,861.06,1,1,0,turn off the water_motor,living_room,morning,water_motor,OFF
37.67,73.69,64.57,39.96,0,3,closed,closed,1701.33,1,1,0,deactivate the curtain,bathroom,evening,curtain,OFF
24.02,30.28,15.63,42.28,0,1,open,open,879.02,0,1,1,what s up with the desk_lamp,living_room,morning,desk_lamp,ON
16.74,24.18,14.17,39.28,0,1,open,open,1362.85,0,1,1,check the window,bedroom,morning,window,ON
26.25,23.93,66.64,65.73,1,3,open,closed,514.31,1,0,0,check the curtain,kitchen,morning,curtain,ON
15.4,39.77,93.09,12.8,0,0,open,open,1263.03,1,0,1,close the tv,garage,morning,tv,OFF
17.15,44.62,61.92,75.73,1,3,open,closed,1581.97,0,0,0,turn on the desk_lamp,living_room,afternoon,desk_lamp,ON
22.51,89.04,63.43,28.07,0,3,open,closed,1437.89,0,1,1,check the coffee_maker,bedroom,night,coffee_maker,OFF
25.99,28.38,19.87,10.03,0,3,open,open,404.77,1,0,1,how s the door,living_room,afternoon,door,ON
39.2,88.71,97.24,20.39,0,3,closed,open,1400.36,1,0,0,what s up with the humidifier,bedroom,afternoon,humidifier,ON
15.06,59.66,81.15,78.36,0,2,open,open,819.55,0,0,1,what s up with the cctv_camera,living_room,night,cctv_camera,ON
33.52,41.47,58.68,54.46,0,1,open,closed,1956.96,1,0,0,switch on the humidifier,garage,night,humidifier,ON
38.58,34.82,31.15,23.32,0,2,closed,closed,859.76,1,1,0,what s up with the light,office,night,light,ON
27.29,85.54,44.94,56.13,0,1,open,open,1758.78,0,1,1,stop the heater,office,afternoon,heater,OFF
31.86,55.4,19.18,29.32,0,2,open,open,1485.98,1,0,0,status of the humidifier,bedroom,morning,humidifier,ON
38.94,67.11,95.35,66.76,0,2,closed,closed,1079.62,1,0,1,stop the aquarium_pump,living_room,morning,aquarium_pump,OFF
31.24,51.67,52.49,47.6,0,3,closed,closed,1815.8,1,1,0,what s up with the coffee_maker,balcony,evening,coffee_maker,OFF
20.57,43.55,37.51,30.42,0,3,open,open,1563.48,0,0,0,what s up with the humidifier,bathroom,afternoon,humidifier,ON
21.28,41.49,39.39,61.53,0,0,open,closed,1055.42,0,0,1,how s the refrigerator,living_room,night,refrigerator,ON
28.37,78.51,25.71,19.22,1,1,closed,closed,787.93,1,0,1,check the dehumidifier,bedroom,evening,dehumidifier,ON
24.6,86.86,15.91,76.15,1,1,closed,open,824.4,1,1,0,stop the refrigerator,bathroom,afternoon,refrigerator,OFF
31.71,46.27,51.63,61.16,1,1,open,closed,721.66,0,0,0,activate the dehumidifier,kitchen,afternoon,dehumidifier,ON
28.38,30.36,81.46,35.34,1,0,open,open,1905.21,1,1,0,status of the refrigerator,bathroom,afternoon,refrigerator,ON
16.94,64.81,93.04,65.5,0,2,closed,open,1972.55,1,0,1,open the curtain,office,evening,curtain,ON
15.8,35.35,16.73,71.69,0,0,open,open,658.49,0,1,1,close the music_system,bathroom,afternoon,music_system,OFF
16.94,69.31,49.83,77.28,0,3,closed,closed,1696.73,0,1,1,turn off the window,bedroom,evening,window,OFF
36.27,59.19,15.44,68.16,1,0,closed,open,1252.55,0,0,1,check the fan,kitchen,afternoon,fan,ON
22.63,50.86,93.37,55.47,0,0,closed,closed,1047.55,1,0,1,start the desk_lamp,bedroom,evening,desk_lamp,ON
32.82,31.0,34.18,45.56,1,3,open,closed,751.09,1,1,1,close the geyser,bathroom,evening,geyser,OFF
30.96,59.86,22.94,36.85,0,2,closed,closed,634.58,1,1,0,start the air_purifier,bedroom,night,air_purifier,ON
32.59,52.18,42.83,29.6,0,3,open,open,873.9,0,0,1,stop the music_system,bathroom,night,music_system,OFF
32.4,82.76,19.54,51.42,0,0,closed,open,1156.1,0,0,1,status of the cctv_camera,office,evening,cctv_camera,ON
33.65,60.39,16.28,10.11,0,0,open,open,1748.04,0,0,1,deactivate the water_motor,bathroom,evening,water_motor,OFF
37.33,78.95,72.17,60.19,1,1,closed,open,815.03,1,1,0,is the curtain off,bedroom,evening,curtain,OFF
19.22,79.74,34.09,37.66,1,3,open,closed,1384.92,0,1,0,close the window,living_room,evening,window,OFF
27.69,76.17,58.6,76.98,0,2,closed,closed,1483.19,0,1,1,switch off the light,garage,evening,light,OFF
15.61,84.38,87.02,11.62,0,0,open,open,1385.51,1,1,0,turn off the air_purifier,kitchen,afternoon,air_purifier,OFF
20.54,89.9,70.61,72.6,0,0,open,open,1387.71,0,0,0,switch on the cctv_camera,bathroom,morning,cctv_camera,ON
20.02,33.54,87.71,26.27,1,1,closed,open,1907.32,1,1,1,is the cctv_camera on,office,night,cctv_camera,ON
24.71,60.74,27.89,48.94,1,3,closed,closed,1838.4,1,0,0,start the aquarium_pump,bathroom,evening,aquarium_pump,ON
25.47,43.75,69.49,42.61,0,0,open,open,1705.37,1,0,0,switch on the humidifier,living_room,morning,humidifier,ON
36.79,80.98,76.98,70.05,0,2,closed,open,1817.03,0,0,0,start the phone_charger,garage,evening,phone_charger,ON
18.36,47.31,22.0,64.54,0,1,closed,open,840.5,1,0,0,switch off the curtain,bathroom,afternoon,curtain,OFF
21.93,66.05,41.57,20.53,0,3,closed,open,883.92,0,0,0,is the aquarium_pump on,bathroom,evening,aquarium_pump,ON
28.25,27.52,58.18,49.45,0,1,closed,closed,1213.98,1,0,1,deactivate the fan,living_room,night,fan,OFF
27.7,80.26,61.21,57.46,1,0,closed,closed,826.48,1,0,0,status of the humidifier,living_room,afternoon,humidifier,ON
29.49,81.45,54.42,48.46,1,0,open,closed,504.18,1,0,0,turn on the curtain,balcony,evening,curtain,ON
31.33,27.18,39.84,65.35,1,1,closed,open,751.52,1,0,1,switch off the aquarium_pump,living_room,evening,aquarium_pump,OFF
23.69,21.3,43.78,52.28,0,3,closed,closed,892.09,1,1,0,how s the geyser,bedroom,evening,geyser,ON
23.46,72.39,22.43,77.74,1,2,closed,open,1274.62,0,0,0,status of the heater,office,afternoon,heater,ON
29.29,72.23,83.97,53.38,0,1,closed,open,967.09,1,1,1,turn off the water_motor,balcony,evening,water_motor,OFF
29.51,75.89,19.93,67.14,1,1,open,closed,1052.63,1,0,1,open the heater,bathroom,night,heater,ON
20.81,66.62,38.06,73.88,1,1,closed,open,1741.15,1,1,1,what s up with the desk_lamp,living_room,morning,desk_lamp,ON
37.35,84.83,39.21,32.98,0,0,closed,closed,1543.88,0,0,1,stop the window,kitchen,night,window,OFF
34.07,86.12,83.56,57.81,0,2,closed,closed,749.99,1,0,1,status of the air_purifier,bedroom,afternoon,air_purifier,ON
15.74,62.34,99.11,33.96,0,0,closed,closed,561.54,1,1,0,open the water_motor,office,afternoon,water_motor,ON
21.88,86.67,66.82,62.22,0,1,open,open,753.06,0,1,1,is the heater off,bedroom,afternoon,heater,OFF
32.16,33.98,49.67,28.97,0,3,open,closed,1003.8,1,1,1,open the aquarium_pump,balcony,evening,aquarium_pump,ON
34.57,41.47,35.41,60.71,1,1,open,open,1936.26,0,0,0,deactivate the light,office,evening,light,OFF
37.79,35.42,66.5,63.51,1,1,closed,open,508.36,0,0,1,open the water_motor,balcony,night,water_motor,ON
19.91,61.93,67.21,13.81,1,1,closed,closed,1378.82,1,1,1,how s the water_motor,balcony,evening,water_motor,ON
16.66,71.31,89.1,79.66,1,0,closed,open,1675.14,0,0,1,check the ac,living_room,evening,ac,ON
33.53,75.87,5.44,63.28,1,0,closed,closed,1295.19,0,0,0,turn on the water_motor,living_room,evening,water_motor,ON
39.57,71.32,72.67,22.16,0,2,closed,closed,1565.3,0,1,0,start the water_motor,bathroom,afternoon,water_motor,ON
39.5,87.24,79.42,41.08,1,2,open,open,1929.46,1,1,0,deactivate the light,garage,night,light,OFF
39.27,29.17,74.75,42.02,0,2,closed,closed,1355.22,0,1,1,is the air_purifier on,living_room,evening,air_purifier,ON
33.31,69.71,11.53,53.73,1,3,open,open,767.23,1,1,0,check the air_purifier,balcony,afternoon,air_purifier,ON
17.92,78.91,68.29,47.91,1,3,open,open,1512.54,0,1,0,is the ac on,living_room,night,ac,ON
16.34,63.96,24.04,12.79,0,2,open,open,1238.62,0,1,1,switch off the refrigerator,balcony,afternoon,refrigerator,OFF
34.62,39.99,47.92,60.02,1,1,closed,closed,703.14,1,0,1,status of the fan,living_room,afternoon,fan,ON
17.46,36.5,61.46,20.31,1,2,closed,closed,1754.46,0,1,1,turn off the heater,office,evening,heater,OFF
23.25,65.92,59.29,74.7,0,0,open,open,1093.02,1,1,0,deactivate the cctv_camera,kitchen,morning,cctv_camera,OFF
30.39,52.69,7.8,54.06,0,1,open,open,1509.87,0,0,1,activate the light,balcony,morning,light,ON
22.69,78.96,11.92,60.49,0,1,open,open,1666.49,1,0,0,open the ac,living_room,morning,ac,ON
32.6,66.25,29.6,34.75,1,3,open,open,570.12,1,0,1,what s up with the tv,garage,night,tv,ON
19.56,81.4,7.91,43.4,1,1,closed,open,1383.62,1,0,1,is the window off,bathroom,night,window,OFF
28.87,64.59,5.04,79.32,0,0,closed,open,1666.54,1,0,0,deactivate the cctv_camera,kitchen,morning,cctv_camera,OFF
37.59,74.16,61.0,13.17,1,1,open,closed,1381.66,1,0,0,is the curtain off,bathroom,night,curtain,OFF
22.73,57.71,90.42,36.55,0,1,open,closed,1660.1,1,1,1,start the desk_lamp,living_room,morning,desk_lamp,ON
24.54,30.38,44.6,49.55,0,1,open,closed,1750.92,0,1,0,what s up with the fan,office,morning,fan,ON
37.74,85.63,33.15,32.97,0,0,closed,closed,1465.18,0,1,1,close the window,balcony,morning,window,OFF
30.44,58.02,93.28,73.46,0,3,open,open,428.54,1,0,1,start the cctv_camera,balcony,night,cctv_camera,ON
21.38,30.74,24.15,12.72,0,1,open,open,1776.21,0,0,1,is the phone_charger on,office,morning,phone_charger,ON
16.06,29.95,43.89,12.05,1,0,open,open,1563.32,0,1,1,check the heater,kitchen,afternoon,heater,ON
28.21,26.46,32.81,30.22,1,3,closed,open,1108.27,1,1,0,check the heater,living_room,afternoon,heater,ON
27.13,69.16,85.41,76.37,0,2,open,closed,1585.09,0,0,0,is the dehumidifier off,balcony,night,dehumidifier,OFF
30.18,68.06,31.56,56.02,0,1,open,open,1859.78,0,0,0,stop the air_purifier,balcony,evening,air_purifier,OFF
29.5,43.69,10.89,73.56,0,2,closed,closed,605.79,1,0,0,is the water_motor on,balcony,morning,water_motor,ON
31.14,20.81,29.81,20.27,0,1,closed,closed,794.91,0,0,0,switch off the phone_charger,kitchen,night,phone_charger,OFF
26.55,38.61,52.41,33.91,0,3,open,closed,1245.21,0,0,1,open the refrigerator,bathroom,evening,refrigerator,ON
26.51,46.27,12.92,35.78,0,0,closed,open,562.23,0,0,0,turn off the door,office,afternoon,door,OFF
37.21,54.01,36.99,60.45,1,2,closed,closed,1020.78,1,1,1,status of the aquarium_pump,bathroom,evening,aquarium_pump,ON
34.9,47.1,52.91,35.02,0,3,open,closed,1981.84,0,1,1,turn off the coffee_maker,bedroom,afternoon,coffee_maker,OFF
17.15,73.46,51.67,21.23,0,3,closed,open,496.35,0,1,0,is the ac off,garage,night,ac,OFF
15.68,53.52,79.85,74.44,1,1,closed,closed,1758.86,1,1,1,what s up with the air_purifier,living_room,night,air_purifier,ON
28.2,69.48,6.53,19.27,0,2,closed,closed,1601.54,1,1,0,activate the phone_charger,bathroom,morning,phone_charger,ON
26.42,49.53,90.27,38.33,0,2,closed,closed,1881.18,1,0,1,is the door on,bathroom,evening,door,ON
37.6,21.45,96.07,77.32,0,1,open,closed,1008.3,1,1,1,what s up with the coffee_maker,kitchen,evening,coffee_maker,OFF
32.46,20.5,12.72,75.03,0,2,closed,open,1473.05,0,0,1,switch on the cctv_camera,office,evening,cctv_camera,ON
27.89,71.93,41.98,64.67,0,3,open,open,526.47,0,0,0,stop the refrigerator,living_room,night,refrigerator,OFF
20.16,20.68,34.25,68.59,0,3,closed,open,632.62,1,0,0,turn off the music_system,office,morning,music_system,OFF
22.05,42.48,6.89,17.97,0,2,open,open,1867.51,1,0,1,turn off the dehumidifier,living_room,morning,dehumidifier,OFF
25.2,73.38,21.57,10.13,1,3,closed,open,1368.09,1,1,0,start the air_purifier,garage,night,air_purifier,ON
28.24,78.05,96.65,18.86,0,3,open,open,1802.86,0,0,1,switch on the ac,bathroom,night,ac,ON
32.49,74.97,96.63,53.14,0,0,closed,closed,1940.88,0,1,1,close the humidifier,bathroom,afternoon,humidifier,OFF
20.18,35.91,15.6,22.71,0,0,closed,open,1611.37,0,0,1,switch on the window,office,morning,window,ON
